,period,thickness,filling,mean_energy,diff_energy
0,340.0,20.0,0.7,1.639054588658604,-0.4190380756788792
1,460.0,20.0,0.78,1.659593611141631,-0.1460166705945647
2,480.0,20.0,0.74,1.6259283455232276,-0.13163090396176003
3,480.0,20.0,0.78,1.6137198926906606,-0.1296333720539502
4,500.0,20.0,0.74,1.5881483085760078,-0.12991660373137193
5,500.0,20.0,0.78,1.5725247950854238,0.12972145006925362
6,520.0,20.0,0.7,1.548774533040696,-0.08326285110381071
7,520.0,20.0,0.74,1.5493394923604125,-0.12059018785940712
8,520.0,20.0,0.78,1.5378804927059186,-0.12276056254382284
9,540.0,20.0,0.7,1.5222194842579275,0.08943102162191785
10,540.0,20.0,0.74,1.5163266828730206,0.12254930212234427
11,540.0,20.0,0.78,1.505441500162347,-0.10995094350833257
12,560.0,20.0,0.7,1.4880210718070268,0.078424006754092
13,560.0,20.0,0.74,1.4771253937080322,-0.07778716568086397
14,560.0,20.0,0.78,1.4801818336147332,-0.09110547138510916
15,580.0,20.0,0.7,1.461404950079856,-0.0614749634203966
16,580.0,20.0,0.74,1.459887783552567,-0.09377589260430974
17,580.0,20.0,0.78,1.4491647494571471,-0.0898757193211972
18,600.0,20.0,0.7,1.4334436522009497,-0.05841504162947819
19,600.0,20.0,0.74,1.4381922842827826,-0.10275975060160913
20,500.0,30.0,0.78,1.452578939378222,0.13712838497191315
21,520.0,30.0,0.74,1.4389751228164898,0.1349996311398014
22,520.0,30.0,0.78,1.4208847896086247,0.12818194393007798
23,540.0,30.0,0.74,1.4049781094218927,0.13424712457402976
24,560.0,30.0,0.7,1.3950404175484439,0.14313061979575137
25,560.0,30.0,0.74,1.3762503401010169,0.13126612346912014
26,580.0,30.0,0.7,1.3654295339790359,0.13230507182131812
27,580.0,30.0,0.74,1.346656922621864,0.13116767394897422
28,580.0,30.0,0.82,1.59021565341969,0.45148399022051455
29,600.0,30.0,0.7,1.3360009097067724,0.13342418472995266
30,600.0,30.0,0.82,1.5814462538318859,0.48825634631975134
31,500.0,40.0,0.78,1.3502817316988387,0.15269290202460684
32,520.0,40.0,0.74,1.3457298147725103,0.1470864343563394
33,520.0,40.0,0.78,1.6067123880169172,0.42713542513192615
34,540.0,40.0,0.7,1.3367407690808069,0.15889677459925333
35,560.0,40.0,0.78,1.552030004201838,0.43784652540483515
36,560.0,40.0,0.82,1.5254653974205672,-0.4456131386079045
37,580.0,40.0,0.78,1.5267998144756285,-0.44880751447218614
38,600.0,40.0,0.7,1.551427877422091,0.4524708318449293
39,600.0,40.0,0.74,1.5436503185796862,0.487127670481039
40,600.0,40.0,0.78,1.509616974587638,0.47006559607698306
41,600.0,40.0,0.82,1.4742823509814706,-0.45550175623221967
42,480.0,50.0,0.74,1.3335168047042856,0.17538543306382293
43,480.0,50.0,0.78,1.5950029613561487,-0.416655936533628
44,500.0,50.0,0.7,1.3283463245217428,0.17735951974515274
45,500.0,50.0,0.74,1.59169409011997,0.41756826004501746
46,500.0,50.0,0.78,1.5654911475309718,-0.4226554622368517
47,520.0,50.0,0.7,1.5886809977908172,0.4149480486727479
48,520.0,50.0,0.74,1.5677136826009672,-0.4302681531183066
49,520.0,50.0,0.78,1.5346560350042595,-0.4295171289443711
50,540.0,50.0,0.7,1.5683563434281074,0.4318190183391568
51,540.0,50.0,0.74,1.5351386206401343,-0.42895361537811794
52,560.0,50.0,0.7,1.5350436870300446,0.430677466944144
53,560.0,50.0,0.74,1.5080841196145824,-0.43186233982156286
54,560.0,50.0,0.82,1.4499257214495056,-0.43746738926588735
55,580.0,50.0,0.7,1.5113771373562965,0.4360316779667339
56,580.0,50.0,0.74,1.4798788227718156,0.4321483422847674
57,580.0,50.0,0.78,1.4541424479224336,0.4459308886341553
58,580.0,50.0,0.82,1.435595412407828,0.42867287546364596
59,600.0,50.0,0.7,1.4820848981274501,-0.4358603173188109
60,600.0,50.0,0.74,1.4671812540414333,-0.45337076198583137
61,600.0,50.0,0.78,1.4370351604794085,0.42225339167280174
62,600.0,50.0,0.82,1.4169203105224102,0.40593367068587227
63,460.0,60.0,0.74,1.605229530825318,-0.4127571847436864
64,460.0,60.0,0.78,1.57376732271777,-0.4240189175371849
65,480.0,60.0,0.7,1.6047340251684292,0.41280172429045625
66,480.0,60.0,0.74,1.5713177955362054,-0.4168217363098665
67,480.0,60.0,0.78,1.5520499057676025,-0.4483082164410215
68,500.0,60.0,0.7,1.5667756870760412,-0.41720266084889923
69,500.0,60.0,0.74,1.540727640434403,-0.42896862073024433
70,520.0,60.0,0.7,1.5395438196724118,-0.42636514377208434
71,520.0,60.0,0.74,1.5100438202958755,-0.42771825533144314
72,520.0,60.0,0.78,1.4792763588647222,-0.43382918152550864
73,540.0,60.0,0.7,1.5086144041571834,-0.42443775617999346
74,540.0,60.0,0.74,1.4743421158758907,-0.4190910920328197
75,540.0,60.0,0.78,1.4495201043979933,-0.4379379252447362
76,560.0,60.0,0.7,1.4856136221490628,-0.4318684870666736
77,560.0,60.0,0.74,1.4508263399462482,-0.4313437885585516
78,560.0,60.0,0.78,1.4403140281539388,-0.4109530065674529
79,560.0,60.0,0.82,1.4108171212191716,0.4030761171019388
80,580.0,60.0,0.7,1.4654156115853072,-0.44328407814756066
81,580.0,60.0,0.74,1.4310533050751129,0.43047581932389534
82,580.0,60.0,0.78,1.4131230136971296,0.39695458185227706
83,600.0,60.0,0.7,1.4440249429007102,-0.410479849761505
84,600.0,60.0,0.74,1.425453119948251,-0.3816614013417061
85,600.0,60.0,0.82,1.596931479463543,0.09124332039413074
86,420.0,70.0,0.74,1.3274546249484613,0.2104647941619433
87,440.0,70.0,0.7,1.6295993627994045,0.39676828017053034
88,440.0,70.0,0.74,1.5991381587003668,-0.42114770182128547
89,460.0,70.0,0.7,1.5989756324178643,0.41380426234456946
90,460.0,70.0,0.74,1.5645882192189893,-0.42641632221893855
91,460.0,70.0,0.78,1.5312060515799066,-0.4356047249770443
92,480.0,70.0,0.7,1.5638033123915953,-0.4293403407086227
93,480.0,70.0,0.74,1.540392315504764,-0.4499079252308613
94,480.0,70.0,0.78,1.5010688955789298,-0.443330744235781
95,500.0,70.0,0.7,1.5383849044404352,-0.4467099746002703
96,500.0,70.0,0.74,1.4970615797937576,-0.43045821192033085
97,520.0,70.0,0.7,1.5101914325366126,-0.44894184832385187
98,520.0,70.0,0.74,1.4641650788083822,-0.43298284732460246
99,520.0,70.0,0.78,1.4436357922369432,-0.41697717088984576
100,540.0,70.0,0.7,1.4620712824225075,-0.4166231951819004
101,540.0,70.0,0.74,1.4385186501300375,-0.4007858350135236
102,540.0,70.0,0.78,1.417778514198633,0.39816626157574
103,560.0,70.0,0.7,1.440322761085267,-0.40432102200734654
104,560.0,70.0,0.74,1.4329334042710764,-0.3955669715460959
105,560.0,70.0,0.82,1.6270076969476586,0.1315637587049301
106,580.0,70.0,0.7,1.4302480984402919,-0.38755513999530145
107,580.0,70.0,0.74,1.409512055258473,-0.36291122000877785
108,600.0,70.0,0.82,1.5609389425796552,0.11574309025969853
109,400.0,80.0,0.74,1.3305107210065765,0.21657698086849497
110,420.0,80.0,0.74,1.657570654119069,0.5313570876356446
111,440.0,80.0,0.7,1.601056137752561,0.4119655403874787
112,440.0,80.0,0.74,1.643756335508122,0.5851308490039315
113,460.0,80.0,0.7,1.6405807114497153,0.5770655397854965
114,460.0,80.0,0.74,1.5269025861291685,-0.43474441185919743
