,A,q,E0,Gamma,y_offset,R_squared,Q-factor
0.025,0.018689191906722195,-0.6808214875989073,1.2823603028111912,0.0038443464427494445,-0.01876544467766397,0.990741525035559,333.57043177775046
0.05,0.07140013746205323,-0.6923622313361397,1.2833002134446108,0.0038975590892036415,-0.07169503380815516,0.9904079199871665,329.25741061871054
0.075,0.14321232616186347,-0.71068471048931,1.2848652180259117,0.004246741037193136,-0.14377441128412588,0.9897838702523887,302.5532300587694
0.1,0.2226768683427084,-0.7376951513854848,1.287024570871497,0.0046209945012681145,-0.22352421420073773,0.9887247979269166,278.51679341282613
0.125,0.2957873849842653,-0.7744000241395629,1.2897651337157492,0.005105664821430131,-0.29689298477978,0.9872581426970076,252.61453284245897
0.15,0.3565830858546943,-0.8071078059106372,1.2932023736780232,0.005758826410872332,-0.3575644302342289,0.9858738868631447,224.5600546730375
0.175,0.4000121672193928,-0.8485820106611556,1.2972399444702631,0.006520419332494363,-0.40060942566139474,0.9841108787116571,198.95038621296902
0.2,0.4250301427712639,-0.8909479344787794,1.3019389447235215,0.007338470016591084,-0.4280064114458644,0.9775819491102511,177.41285878119686
0.225,0.42504183402571843,-0.9226784694411904,1.3073811295203974,0.008039812116824427,-0.4441209529400639,0.9456491924927535,162.6133932638202
0.25,0.4072465075545129,-0.9822400720689531,1.3134083926038027,0.008913375439072764,-0.43623346677074276,0.9205587211502572,147.35252672588348
0.275,0.3736843376091308,-1.0691682252916797,1.3200196727208984,0.009970238135635266,-0.40883216581651627,0.9012168555158425,132.39600245885117
0.3,0.32505283762340403,-1.1941226761587147,1.3271526770070252,0.011219538536572652,-0.3648147543968002,0.8832089610047953,118.28941740169326
0.325,0.26742079313965655,-1.3746645794653163,1.334714257014846,0.012878070492974692,-0.3072802584558194,0.8752306744838786,103.64240960965121
0.35,0.20230203486657003,-1.6438019585706187,1.3425709205453167,0.01506445452970532,-0.24169362221609741,0.8688821883702094,89.12177456528053
0.375,0.13852939786632,-2.0550637259504523,1.3505869364291692,0.018218032483833576,-0.17553441770318326,0.8698355364358342,74.13462115778205
0.4,0.08337689505045275,-2.7157091624138188,1.3586283799886063,0.02290571724371923,-0.1177601879377699,0.8771055891767624,59.31394182215112
0.425,0.04351581822662442,-3.8180795205482334,1.3666898942943448,0.029929121984764363,-0.07589428388610726,0.8916811639620786,45.66421610998372
0.45,0.06811394843525351,-2.9999999999999996,1.3806947524567614,0.03414528458139344,-0.07938058916543574,0.8758712488193374,40.435883589300474
0.475,0.008534968413872572,-8.806633988573655,1.384024930526324,0.05358637464208549,-0.04771854635073781,0.9331112808163959,25.827926217634865
0.5,0.006913970326074444,-9.999999999999993,1.3956848168057938,0.06916260035754918,-0.05883122430810247,0.9531053849212168,20.179762033100786
0.525,0.007369381514690389,-9.999999999999918,1.4084396837838415,0.0863944144032573,-0.08203034218737218,0.9690097508588362,16.30243915086644
0.55,0.09152798738985898,-2.9999999999998286,1.4410659127218182,0.09999999999999999,-0.2364468442072524,0.9270412803873386,14.410659127218183
0.575,0.018721446314020205,-6.75106450378804,1.435669327385427,0.11047415970960636,-0.14232686299341793,0.9868082460846014,12.995521587665785
