thickness [nm],period [nm],filling,upper mode [eV],lower mode [eV]
100,250,0.78,1.74,1.53
100,300,0.78,1.57,1.37
100,300,0.8,1.55,1.36
40,300,0.78,1.84,1.67
40,300,0.8,1.82,1.66
40,300,0.82,1.8,1.65
40,350,0.78,1.74,1.55
40,350,0.8,1.72,1.55
40,350,0.82,1.7,1.54
50,300,0.78,1.78,1.6
50,300,0.8,1.76,1.58
50,300,0.82,1.74,1.57
60,250,0.78,1.85,1.68
60,300,0.78,1.72,1.53
60,300,0.8,1.7,1.52
60,300,0.82,1.69,1.5
60,500,0.8,1.82,1.7
60,500,0.82,1.81,1.69
60,500,0.84,1.8,1.68
70,250,0.78,1.82,1.62
70,500,0.78,1.8,1.67
70,500,0.8,1.79,1.66
70,500,0.82,1.77,1.65
70,500,0.84,1.75,1.64
80,250,0.78,1.79,1.58
80,300,0.78,1.64,1.44
90,250,0.78,1.76,1.56
90,300,0.78,1.6,1.4
90,300,0.82,1.55,1.38
70,300,0.78,1.68,1.47
70,300,0.8,1.66,1.46
70,300,0.82,1.64,1.46
